narzedzie,algorytm,wierzcholki,krawedzie,iteracja,czas_us
networkx,dijkstra,3783,24186,1,15944
networkx,dijkstra,3783,24186,2,13198
networkx,dijkstra,3783,24186,3,12316
networkx,dijkstra,3783,24186,4,14137
networkx,dijkstra,3783,24186,5,15026
networkx,dijkstra,3783,24186,6,14264
networkx,dijkstra,3783,24186,7,13499
networkx,dijkstra,3783,24186,8,14872
networkx,dijkstra,3783,24186,9,14748
networkx,dijkstra,3783,24186,10,12392
networkx,dijkstra,3783,24186,11,11791
networkx,dijkstra,3783,24186,12,11427
networkx,dijkstra,3783,24186,13,11945
networkx,dijkstra,3783,24186,14,11814
networkx,dijkstra,3783,24186,15,12638
networkx,dijkstra,3783,24186,16,12415
networkx,dijkstra,3783,24186,17,12026
networkx,dijkstra,3783,24186,18,12706
networkx,dijkstra,3783,24186,19,12086
networkx,dijkstra,3783,24186,20,13062
networkx,dijkstra,3783,24186,21,12432
networkx,dijkstra,3783,24186,22,14730
networkx,dijkstra,3783,24186,23,20152
networkx,dijkstra,3783,24186,24,17124
networkx,dijkstra,3783,24186,25,14699
networkx,dijkstra,3783,24186,26,17705
networkx,dijkstra,3783,24186,27,13932
networkx,dijkstra,3783,24186,28,15756
networkx,dijkstra,3783,24186,29,17224
networkx,dijkstra,3783,24186,30,13438
networkx,dijkstra,3783,24186,31,12156
networkx,dijkstra,3783,24186,32,11543
networkx,dijkstra,3783,24186,33,11270
networkx,dijkstra,3783,24186,34,11079
networkx,dijkstra,3783,24186,35,12550
networkx,dijkstra,3783,24186,36,12653
networkx,dijkstra,3783,24186,37,11951
networkx,dijkstra,3783,24186,38,13799
networkx,dijkstra,3783,24186,39,16487
networkx,dijkstra,3783,24186,40,13275
networkx,dijkstra,3783,24186,41,13729
networkx,dijkstra,3783,24186,42,20632
networkx,dijkstra,3783,24186,43,26640
networkx,dijkstra,3783,24186,44,20327
networkx,dijkstra,3783,24186,45,18531
networkx,dijkstra,3783,24186,46,16019
networkx,dijkstra,3783,24186,47,18173
networkx,dijkstra,3783,24186,48,17008
networkx,dijkstra,3783,24186,49,16277
networkx,dijkstra,3783,24186,50,14575
networkx,dijkstra,3783,24186,avg,14563
networkx,dijkstra,3783,24186,min,11079
networkx,dijkstra,3783,24186,max,26640
networkx,bellman-ford,3783,24186,1,34935
networkx,bellman-ford,3783,24186,2,26378
networkx,bellman-ford,3783,24186,3,19638
networkx,bellman-ford,3783,24186,4,17292
networkx,bellman-ford,3783,24186,5,18099
networkx,bellman-ford,3783,24186,6,21045
networkx,bellman-ford,3783,24186,7,27263
networkx,bellman-ford,3783,24186,8,26850
networkx,bellman-ford,3783,24186,9,28051
networkx,bellman-ford,3783,24186,10,27467
networkx,bellman-ford,3783,24186,11,28303
networkx,bellman-ford,3783,24186,12,28622
networkx,bellman-ford,3783,24186,13,28500
networkx,bellman-ford,3783,24186,14,29326
networkx,bellman-ford,3783,24186,15,40037
networkx,bellman-ford,3783,24186,16,41221
networkx,bellman-ford,3783,24186,17,43076
networkx,bellman-ford,3783,24186,18,40114
networkx,bellman-ford,3783,24186,19,31297
networkx,bellman-ford,3783,24186,20,38703
networkx,bellman-ford,3783,24186,21,31922
networkx,bellman-ford,3783,24186,22,27430
networkx,bellman-ford,3783,24186,23,23832
networkx,bellman-ford,3783,24186,24,18720
networkx,bellman-ford,3783,24186,25,19965
networkx,bellman-ford,3783,24186,26,19112
networkx,bellman-ford,3783,24186,27,19662
networkx,bellman-ford,3783,24186,28,20572
networkx,bellman-ford,3783,24186,29,20845
networkx,bellman-ford,3783,24186,30,21461
networkx,bellman-ford,3783,24186,31,18948
networkx,bellman-ford,3783,24186,32,22523
networkx,bellman-ford,3783,24186,33,19271
networkx,bellman-ford,3783,24186,34,20002
networkx,bellman-ford,3783,24186,35,19481
networkx,bellman-ford,3783,24186,36,24374
networkx,bellman-ford,3783,24186,37,32315
networkx,bellman-ford,3783,24186,38,29618
networkx,bellman-ford,3783,24186,39,38575
networkx,bellman-ford,3783,24186,40,30760
networkx,bellman-ford,3783,24186,41,32776
networkx,bellman-ford,3783,24186,42,32928
networkx,bellman-ford,3783,24186,43,29118
networkx,bellman-ford,3783,24186,44,36062
networkx,bellman-ford,3783,24186,45,26712
networkx,bellman-ford,3783,24186,46,20603
networkx,bellman-ford,3783,24186,47,19604
networkx,bellman-ford,3783,24186,48,19142
networkx,bellman-ford,3783,24186,49,22363
networkx,bellman-ford,3783,24186,50,18958
networkx,bellman-ford,3783,24186,avg,26677
networkx,bellman-ford,3783,24186,min,17292
networkx,bellman-ford,3783,24186,max,43076
